19,21
39,21
348,490
630,495
1159,876
1587,748
1941,617
2417,766
3243,1359
4241,1717
4261,30
4277,21
4294,22
4354,132
4377,48
4397,46
4416,30
4474,125
5424,1640
5562,315
5577,21
5848,589
6003,390
6288,782
6646,916
6896,631
7092,487
7521,1144
7756,540
8035,701
8319,682
8715,903
8952,601
9162,498
9381,527
9570,397
9815,586
10029,539
10350,954
10618,664
10910,700
11347,931
11721,868
12152,912
12359,535
12524,477
12915,1012
13179,570
13466,645
13754,622
13929,385
14362,1132
14783,1199
15201,936
15673,1266
16144,1266
16515,820
17037,1050
17510,836
18208,1499
18982,1767
19593,1158
20136,1083
20377,499
20962,1364
21397,1175
21840,1319
22065,584
22221,358
22383,373
22682,834
23075,1148
23399,744
23807,876
24351,1472
24757,1024
25539,1546
26001,1001
26455,955
27055,1411
27691,1482
28305,1344
28792,1115
29398,1371
29854,1114
30431,1532
31043,1405
31718,1528
32284,1094
32764,959
33642,1681
34182,1071
34962,1532
35529,1157
35938,894
36317,895
37269,1869
38066,1578
38687,1180
39221,1056
39772,1363
40246,1165
40653,857
41463,1775
41783,736
42238,947
42624,867
43212,1137
43735,1150
44292,1135
44913,1363
45748,1862
46157,907
47033,1649
47729,1333
48048,692
48674,1230
49303,1259
49737,935
50150,787
50503,689
51114,1469
51539,978
52080,1189
52497,843
53036,1120
53650,1699
54089,1099
54697,1470
54892,428
55643,1789
56321,1515
56744,774
57537,1636
57635,212
57798,366
58629,1694
59355,1744
60000,1602
60712,1318
61018,589
61753,1494
62360,1296
62804,1064
63232,867
63907,1462
64065,362
64804,1718
65250,1163
65746,1178
66326,1697
66937,1684
67442,1045
67619,358
68465,1679
69227,1772
69416,397
70226,1605
70516,570
70988,904
71338,646
71890,1131
72525,1505
72903,819
73634,1685
74193,1319
74609,971
74852,472
75381,958
76377,1955
76649,567
77021,719
77361,676
78042,1449
78445,821
79081,1294
79615,1169
80309,1680
80853,1357
81618,1841
82315,1368
82809,1023
83277,1105
83575,636
84096,1254
84546,1132
84949,875
85743,1785
86168,909
86775,1295
87408,1394
88180,1444
88468,491
89025,942
89429,1129
90088,1594
90393,610
90894,1065
91434,1291
92235,1946
92758,1174
93322,1429
93584,580
94486,1766
95060,1112
95640,1231
96100,927
96580,897
97124,1235
97234,230
97727,1170
98188,1085
98764,1357
99539,1705
99784,548
100000,1287
100000,361
100000,1256
100000,1267
100000,899
100000,1138
100000,662
100000,1134
100000,981
100000,1104
100000,1357
100000,1676
100000,1257
100000,1124
100000,1715
100000,1142
100000,1288
100000,915
100000,1518
100000,644
100000,1139
100000,1686
100000,474
100000,1469
100000,799
100000,886
100000,897
100000,475
100000,1698
100000,1117
100000,1201
100000,1385
100000,1719
100000,930
100000,1017
100000,729
100000,1216
100000,1663
100000,1110
100000,1807
100000,806
100000,1527
100000,1141
100000,1715
100000,1286
100000,1363
100000,1688
100000,1726
100000,1627
100000,1404
100000,1687
100000,1250
100000,1036
100000,1360
100000,1335
100000,1372
100000,730
100000,384
100000,1237
100000,864
100000,833
100000,1147
100000,1314
100000,813
100000,752
100000,1560
100000,1066
100000,1083
100000,1860
100000,639
100000,977
100000,1441
100000,1387
100000,934
100000,1017
100000,881
100000,1717
100000,1457
100000,628
100000,1309
100000,1376
100000,790
100000,1108
100000,947
100000,1367
100000,946
100000,1421
100000,843
100000,1726
100000,1360
100000,1001
100000,1165
100000,1698
100000,1098
100000,429
100000,900
100000,1081
100000,961
100000,1329
100000,477
100000,891
100000,1172
100000,1126
100000,580
100000,361
100000,1419
100000,1085
100000,689
100000,1427
100000,1774
100000,739
100000,1706
100000,1680
100000,1671
100000,1696
100000,531
100000,1681
100000,382
100000,1173
100000,1275
